VADO SANTA MARÍA (VSM) | IN-5515 Cambio No Comandado CERRAD RTN
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
JANOS (JOS) / CASAS GRANDES (CGR) | IN-77000 TRANSFEMessage : 19:57:36 05JRZCME IN-77000 TRANSFE sol de contr del operad de ABIERT a CERRAD LCC REC POR LCCClass : 27Category : 19Priority : 8
JANOS (JOS) / CASAS GRANDES (CGR) | IN-77000 TRANSFEMessage : 19:57:36 05JRZCME IN-77000 TRANSFE sol de contr del operad de ABIERT a CERRAD LCC REC POR LCCClass : 27Category : 19Priority : 8
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5515 Cambio Comandado CERRAD RTN REC POR jata
GALEANA (GNA) | IN-5050 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5545 ALIMENT CD Cambio Comandado CERRAD RTN REC POR jata
CASAS GRANDES (CGR) | IN-5010 Cambio Comandado CERRAD RTN REC POR jata
PASO DEL NORTE (PNR) / REFORMA (REA) | IN-73140 REA Cambio Comandado CERRAD RTN REC POR lrtc
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5515 Cambio Comandado CERRAD RTN REC POR jata
GALEANA (GNA) | IN-5050 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5545 ALIMENT CD Cambio Comandado CERRAD RTN REC POR jata
CASAS GRANDES (CGR) | IN-5010 Cambio Comandado CERRAD RTN REC POR jata
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5515 Cambio Comandado CERRAD RTN REC POR jata
GALEANA (GNA) | IN-5050 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5545 ALIMENT CD Cambio Comandado CERRAD RTN REC POR jata
CASAS GRANDES (CGR) | IN-5010 Cambio Comandado CERRAD RTN REC POR jata
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5515 Cambio Comandado CERRAD RTN REC POR jata
GALEANA (GNA) | IN-5050 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5545 ALIMENT CD Cambio Comandado CERRAD RTN REC POR jata
CASAS GRANDES (CGR) | IN-5010 Cambio Comandado CERRAD RTN REC POR jata
