NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5515 Cambio Comandado CERRAD RTN REC POR jata
GALEANA (GNA) | IN-5050 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5545 ALIMENT CD Cambio Comandado CERRAD RTN REC POR jata
CASAS GRANDES (CGR) | IN-5010 Cambio Comandado CERRAD RTN REC POR jata
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5515 Cambio Comandado CERRAD RTN REC POR jata
GALEANA (GNA) | IN-5050 Cambio Comandado CERRAD RTN REC POR jata
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5515 Cambio Comandado CERRAD RTN REC POR jata
GALEANA (GNA) | IN-5050 Cambio Comandado CERRAD RTN REC POR jata
05JRZVSM | IN-5515 CERRAD Tiempo SOE: 03 MAR '25 15:00:11.012
05JRZJOS | IN-73740 CGR LT CERRAD Tiempo SOE: 03 MAR '25 15:00:39.457
05JRZVSM | IN-5515 ABIERT Tiempo SOE: 03 MAR '25 15:00:37.793
05JRZVSM | PR-50 5515 OPERAD Tiempo SOE: 03 MAR '25 15:00:37.747
05JRZVSM | PR-50 5515 NORMAL Tiempo SOE: 03 MAR '25 15:00:37.804
05JRZMTV | IN-5615 ABIERT Tiempo SOE: 03 MAR '25 15:01:00.512
05JRZMTV | PR-51 5615 OPERAD Tiempo SOE: 03 MAR '25 15:00:59.682
05JRZMTV | PR-51 5615 NORMAL Tiempo SOE: 03 MAR '25 15:00:59.748
05JRZVSM | IN-5515 CERRAD Tiempo SOE: 03 MAR '25 15:00:11.012
05JRZJOS | IN-73740 CGR LT CERRAD Tiempo SOE: 03 MAR '25 15:00:39.457
05JRZVSM | IN-5515 ABIERT Tiempo SOE: 03 MAR '25 15:00:37.793
05JRZVSM | PR-50 5515 OPERAD Tiempo SOE: 03 MAR '25 15:00:37.747
05JRZVSM | PR-50 5515 NORMAL Tiempo SOE: 03 MAR '25 15:00:37.804
05JRZMTV | IN-5615 ABIERT Tiempo SOE: 03 MAR '25 15:01:00.512
05JRZMTV | PR-51 5615 OPERAD Tiempo SOE: 03 MAR '25 15:00:59.682
05JRZMTV | PR-51 5615 NORMAL Tiempo SOE: 03 MAR '25 15:00:59.748
NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
VADO SANTA MARÍA (VSM) | IN-5525 Cambio Comandado CERRAD RTN REC POR jata
