CHAVEÑA (CVA) | PR-TROA T-02 49A Cambio No Comandado NORMAL RTN
MOCTEZUMA (MCZ) | IN-5120 Anormal Cambio Autorizado ABIERTO
VALLE DE JUÁREZ (VJZ) | IN-77000 TRANSFE Anormal Cambio Autorizado ABIERTO
PATRIA (PAT) | IN-4165 Cambio No Comandado ABIERT
PATRIA (PAT) | PR-50/51 4165 Cambio No Comandado OPERAD
PATRIA (PAT) | PR-50/51 4165 Cambio No Comandado NORMAL RTN
PATRIA (PAT) | IN-4165 Cambio No Comandado CERRADO RTN
ASENCION (AON) | IN-5130 Cambio No Comandado ABIERT
ASENCION (AON) | PR-51X 5130 Cambio No Comandado OPERAD
ASENCION (AON) | PR-51X 5130 Cambio No Comandado NORMAL RTN
ASENCION (AON) | IN-5130 Cambio No Comandado CERRADO RTN
VADO SANTA MARÍA (VSM) | IN-5545 ALIMENT CD Cambio No Comandado ABIERT
VADO SANTA MARÍA (VSM) | PR-50 5545 Cambio No Comandado OPERAD
VADO SANTA MARÍA (VSM) | PR-50 5545 Cambio No Comandado NORMAL RTN
VADO SANTA MARÍA (VSM) / AUTOMOTIVE LIGHTING (ALI) | IN-5545 ALIMENT CD Cambio Comandado CERRADO RTN
TORRES (TOR) | IN-4085 Cambio No Comandado CERRADO RTN
FUENTES (FTS) | IN-4115 Cambio No Comandado ABIERT
FUENTES (FTS) | PR-51X 4115 Cambio No Comandado OPERAD
FUENTES (FTS) | PR-51X 4115 Cambio No Comandado NORMAL RTN
FUENTES (FTS) | IN-4115 Cambio No Comandado CERRADO RTN
MOCTEZUMA (MCZ) | IN-5120 Cambio Comandado CERRADO RTN
GALEANA (GNA) | IN-55010 CP 01 B Anormal Cambio Autorizado ABIERTO
VADO SANTA MARÍA (VSM) | IN-5545 ALIMENT CD Cambio No Comandado ABIERT
VADO SANTA MARÍA (VSM) | PR-50 5545 Cambio No Comandado OPERAD
VADO SANTA MARÍA (VSM) | PR-50 5545 Cambio No Comandado NORMAL RTN
VADO SANTA MARÍA (VSM) / AUTOMOTIVE LIGHTING (ALI) | IN-5545 ALIMENT CD Cambio Comandado CERRADO RTN
COLEGIO (CLG) | IN-49125 Anormal Cambio Autorizado ABIERTO
COLEGIO (CLG) | IN-42025 T-02 Anormal Cambio Autorizado ABIERTO
COLEGIO (CLG) | IN-42025 T-02 PSEUDO Cambio No Comandado ABIERT
VALLE DE JUÁREZ (VJZ) | IN-77000 TRANSFE Cambio Comandado CERRADO RTN
VALLE DE JUÁREZ (VJZ) | IN-75010 CP 01 Anormal Cambio Autorizado ABIERTO
BENITO JUÁREZ (BJZ) | IN-5040 ALIMENT CD Cambio No Comandado ABIERT
BENITO JUÁREZ (BJZ) | PR-5051 5040 CD Cambio No Comandado OPERAD
BENITO JUÁREZ (BJZ) | PR-5051 5040 CD Cambio No Comandado NORMAL RTN
BENITO JUÁREZ (BJZ) / AUTOMOTIVE LIGHTING (ALI) | IN-5040 ALIMENT CD Cambio No Comandado CERRADO RTN
PARQUE (PQE) | IN-4490 Cambio No Comandado ABIERT
PARQUE (PQE) | PR-51X INT 4490 Cambio No Comandado OPERAD
PARQUE (PQE) | PR-51X INT 4490 Cambio No Comandado NORMAL RTN
PARQUE (PQE) | IN-4490 Cambio No Comandado CERRADO RTN
SAMALAYUCA (SYC) | IN-91010 Cambio No Comandado CERRADO RTN
SAMALAYUCA (SYC) | IN-90010 Cambio No Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5210 Anormal Cambio Autorizado ABIERTO
GAVILAN (GAV) / AUTOMOTIVE LIGHTING (ALI) | IN-5010 ALIMENT CD Anormal Cambio Autorizado ABIERTO
SAMALAYUCA DOS (SYD) | IN-51030 UN 03 Cambio No Comandado CERRADO RTN
GAVILAN (GAV) / AUTOMOTIVE LIGHTING (ALI) | IN-5010 ALIMENT CD Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5210 Cambio Comandado CERRADO RTN
CASAS GRANDES (CGR) | IN-5040 Cambio No Comandado ABIERT
CASAS GRANDES (CGR) | PR-51X 5040 Cambio No Comandado OPERAD
CASAS GRANDES (CGR) | PR-51X 5040 Cambio No Comandado NORMAL RTN
CASAS GRANDES (CGR) | IN-5040 Cambio No Comandado CERRADO RTN
VALLE DE JUÁREZ (VJZ) | IN-92990 AT-99 Cambio Comandado CERRADO RTN
VALLE DE JUÁREZ (VJZ) | IN-72990 AT-99 Cambio Comandado CERRADO RTN
VALLE DE JUÁREZ (VJZ) | IN-42050 SP Cambio Comandado CERRADO RTN
SAMALAYUCA DOS (SYD) | IN-41045 UN 04 Cambio No Comandado CERRADO RTN
COLEGIO (CLG) | IN-75010 CP 01 B Cambio Comandado CERRADO RTN
INSURGENTES (IGS) | PR-TROA O ITA T-02 Cambio No Comandado OPERAD
VALLE DE JUÁREZ (VJZ) | IN-75010 CP 01 Cambio Comandado CERRADO RTN
COLEGIO (CLG) | IN-42025 T-02 Cambio Comandado CERRADO RTN
COLEGIO (CLG) | IN-42025 T-02 PSEUDO Cambio No Comandado CERRAD RTN
COLEGIO (CLG) | IN-4385 Cambio Comandado CERRADO RTN
CHAVEÑA (CVA) | IN-4245 Cambio No Comandado ABIERT
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado OPERAD
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado NORMAL RTN
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado OPERAD
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado NORMAL RTN
CHAVEÑA (CVA) | IN-4245 Cambio Comandado CERRADO RTN
VADO SANTA MARÍA (VSM) | IN-5545 ALIMENT CD Cambio No Comandado ABIERT
VADO SANTA MARÍA (VSM) | PR-50 5545 Cambio No Comandado OPERAD
VADO SANTA MARÍA (VSM) | PR-50 5545 Cambio No Comandado NORMAL RTN
VADO SANTA MARÍA (VSM) / AUTOMOTIVE LIGHTING (ALI) | IN-5545 ALIMENT CD Cambio Comandado CERRADO RTN
CASAS GRANDES (CGR) | IN-5050 Cambio No Comandado ABIERT
CASAS GRANDES (CGR) | PR-51X 5050 Cambio No Comandado OPERAD
CASAS GRANDES (CGR) | PR-51X 5050 Cambio No Comandado NORMAL RTN
CASAS GRANDES (CGR) | IN-5050 Cambio No Comandado CERRADO RTN
COLEGIO (CLG) | IN-4385 Anormal Cambio Autorizado ABIERTO
COLEGIO (CLG) | IN-4385 Cambio Comandado CERRADO RTN
COLEGIO (CLG) | IN-4365 Cambio Comandado CERRADO RTN
COLEGIO (CLG) | IN-4375 Cambio Comandado CERRADO RTN
COLEGIO (CLG) | IN-49125 Cambio Comandado CERRADO RTN
COLEGIO (CLG) | IN-4375 Anormal Cambio Autorizado ABIERTO
AZTECA (AZT) | IN-4110 Cambio No Comandado ABIERT
AZTECA (AZT) | PR-51X 4110 Cambio No Comandado OPERAD
AZTECA (AZT) | PR-51X 4110 Cambio No Comandado NORMAL RTN
AZTECA (AZT) | IN-4110 Cambio No Comandado CERRADO RTN
LA PALMA (LAP) | IN-5050 ALIMENT CD Cambio No Comandado ABIERT
LA PALMA (LAP) | PR-5051 5050 CD Cambio No Comandado OPERAD
LA PALMA (LAP) | PR-5051 5050 CD Cambio No Comandado NORMAL RTN
LA PALMA (LAP) / AUTOMOTIVE LIGHTING (ALI) | IN-5050 ALIMENT CD Cambio No Comandado CERRADO RTN
TORRES (TOR) | IN-4095 Cambio No Comandado ABIERT
TORRES (TOR) | PR-51X 4095 Cambio No Comandado OPERAD
TORRES (TOR) | PR-51X 4095 Cambio No Comandado NORMAL RTN
TORRES (TOR) | IN-4095 Cambio No Comandado CERRADO RTN
SAMALAYUCA (SYC) | PR-50FI 91020 Cambio No Comandado NORMAL RTN
SAMALAYUCA (SYC) | PR-50FI 90020 Cambio No Comandado NORMAL RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado ABIERT
SAN IGNACIO (SIG) | IN-4010 X Cambio No Comandado CERRAD RTN
