REFORMA (REA) / INDUSTRIAL JUÁREZ (INJ) | IN-73260 INJ Anormal Cambio Autorizado ABIERTO
INDUSTRIAL JUÁREZ (INJ) / REFORMA (REA) | IN-73260 REA Anormal Cambio Autorizado ABIERTO
INDUSTRIAL JUÁREZ (INJ) | PR-87L 73260 OPERAD
REFORMA (REA) / INDUSTRIAL JUÁREZ (INJ) | IN-73260 INJ CERRADO RTN
REFORMA (REA) / INDUSTRIAL JUÁREZ (INJ) | PR-21 73260 INJ PP1 OPERAD
LA SALADA (LSA) | IN-72010 T-01 ABIERTO
LA SALADA (LSA) | IN-72010 T-01 Cambio No Comandado CERRAD RTN
REFORMA (REA) / INDUSTRIAL JUÁREZ (INJ) | PR-21 73260 INJ PP2 OPERAD
REFORMA (REA) / INDUSTRIAL JUÁREZ (INJ) | PR-21 73260 INJ PP2 OPERAD
REFORMA (REA) / INDUSTRIAL JUÁREZ (INJ) | PR-67N 73260 INJ PP2 OPERAD
INDUSTRIAL JUÁREZ (INJ) / REFORMA (REA) | IN-73260 REA CERRADO RTN
INDUSTRIAL JUÁREZ (INJ) / REFORMA (REA) | IN-73260 REA Anormal Cambio Autorizado ABIERTO
INDUSTRIAL JUÁREZ (INJ) / REFORMA (REA) | IN-73260 REA CERRADO RTN
REFORMA (REA) / INDUSTRIAL JUÁREZ (INJ) | IN-73260 INJ CERRADO RTN
LA SALADA (LSA) | IN-72010 T-01 ABIERTO
LA SALADA (LSA) | IN-72010 T-01 Cambio No Comandado CERRAD RTN
MANIOBRAS SANTA MARÍA (MMS) | IN-92010 AT 01 ALTA ABIERTO
MANIOBRAS SANTA MARÍA (MMS) | IN-92010 AT 01 ALTA Cambio No Comandado CERRAD RTN
PALOMAS (PMS) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
ASENCION DOS (AOD) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
NUEVO CASAS GRANDES (NCG) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
SAMALAYUCA (SYC) | IN-91010 ABIERTO
SAMALAYUCA (SYC) | IN-90010 ABIERTO
NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 CERRADO RTN
NUEVO CASAS GRANDES (NCG) / MOCTEZUMA (MCZ) | IN-93920 MCZ Anormal Cambio Autorizado ABIERTO
MOCTEZUMA (MCZ) / NUEVO CASAS GRANDES (NCG) | IN-93920 NCG LT Anormal Cambio Autorizado ABIERTO
MOCTEZUMA (MCZ) | IN-A4030 RE 03 RE CERRADO RTN
MOCTEZUMA (MCZ) | IN-94020 RE 02 CERRADO RTN
